STATION,DATE,TEMP,MAX,MIN,Celsius
RP000098755,2017-09-04,83.12,93.02,,28
RP000098755,2017-09-05,84.02,92.30,74.30,29
RP000098755,2017-09-06,84.38,90.50,75.74,29
RP000098755,2017-09-07,82.76,91.22,,28
RP000098755,2017-09-08,85.64,93.20,76.10,30
RP000098755,2017-09-09,82.40,97.34,,28
RP000098755,2017-09-10,79.88,92.30,75.20,27
RP000098755,2017-09-11,83.84,91.40,74.66,29
RP000098755,2017-09-12,82.76,92.48,76.10,28
RP000098755,2017-09-13,78.44,83.48,,26
RP000098755,2017-09-14,80.60,88.70,,27
RP000098755,2017-09-15,81.32,90.14,74.66,27
RP000098755,2017-09-16,81.86,90.50,74.30,28
RP000098755,2017-09-17,80.24,93.20,75.56,27
RP000098755,2017-09-18,81.68,91.76,75.02,28
RP000098755,2017-09-19,81.32,91.94,75.74,27
RP000098755,2017-09-20,80.24,92.84,,27
RP000098755,2017-09-21,78.98,84.20,75.02,26
RP000098755,2017-09-22,80.42,88.70,75.20,27
RP000098755,2017-09-23,81.14,88.34,74.84,27
RP000098755,2017-09-24,77.72,,,25
RP000098755,2017-09-25,78.62,85.82,73.40,26
RP000098755,2017-09-26,80.78,93.74,,27
RP000098755,2017-09-27,81.32,89.60,73.40,27
RP000098755,2017-09-28,80.60,87.80,,27
RP000098755,2017-09-29,77.72,80.96,71.96,25
RP000098755,2017-09-30,82.40,92.30,74.30,28
RP000098755,2017-10-01,83.12,90.68,75.74,28
RP000098755,2017-10-02,82.40,90.68,,28
RP000098755,2017-10-03,81.68,91.40,,28
RP000098755,2017-10-04,82.58,89.96,74.84,28
RP000098755,2017-10-05,81.14,90.50,,27
RP000098755,2017-10-06,81.86,91.58,73.22,28
RP000098755,2017-10-07,84.92,94.28,74.30,29
RP000098755,2017-10-08,81.50,88.52,77.00,28
RP000098755,2017-10-09,79.52,86.00,,26
RP000098755,2017-10-10,81.50,88.52,73.40,28
RP000098755,2017-10-11,84.92,94.28,75.20,29
RP000098755,2017-10-12,85.28,96.98,79.34,30
RP000098755,2017-10-13,84.02,93.20,,29
RP000098755,2017-10-14,78.98,84.92,,26
RP000098755,2017-10-15,80.06,86.54,75.02,27
RP000098755,2017-10-16,80.96,93.92,74.48,27
RP000098755,2017-10-17,80.78,86.54,77.18,27
RP000098755,2017-10-18,80.78,86.72,77.36,27
RP000098755,2017-10-19,81.50,89.24,,28
RP000098755,2017-10-20,84.56,95.54,77.90,29
RP000098755,2017-10-21,83.12,92.66,77.90,28
RP000098755,2017-10-22,83.66,95.90,77.00,29
RP000098755,2017-10-23,83.48,94.10,77.18,29
RP000098755,2017-10-24,79.16,86.18,,26
RP000098755,2017-10-25,80.78,87.62,74.66,27
RP000098755,2017-10-26,82.58,91.40,,28
RP000098755,2017-10-27,81.32,89.60,75.02,27
RP000098755,2017-10-28,79.70,87.44,,26
RP000098755,2017-10-29,81.32,88.34,,27
RP000098755,2017-10-30,78.62,86.72,,26
RP000098755,2017-10-31,81.32,,74.30,27
RP000098755,2017-11-01,81.14,88.70,,27
RP000098755,2017-11-02,81.32,,75.02,27
RP000098755,2017-11-03,81.14,,75.56,27
RP000098755,2017-11-04,81.68,89.06,,28
RP000098755,2017-11-05,81.86,92.84,76.82,28
RP000098755,2017-11-06,80.24,87.26,,27
RP000098755,2017-11-07,79.34,84.56,75.20,26
RP000098755,2017-11-08,80.24,86.90,75.92,27
RP000098755,2017-11-09,82.04,86.90,74.30,28
RP000098755,2017-11-10,81.14,87.98,76.46,27
RP000098755,2017-11-11,76.46,80.96,75.20,25
RP000098755,2017-11-12,78.08,84.02,74.30,26
RP000098755,2017-11-13,81.14,88.16,75.20,27
RP000098755,2017-11-14,81.14,86.54,,27
RP000098755,2017-11-15,80.96,,74.66,27
RP000098755,2017-11-16,78.08,84.38,,26
RP000098755,2017-11-17,80.06,88.16,,27
RP000098755,2017-11-18,80.24,88.52,,27
RP000098755,2017-11-19,81.14,86.18,74.30,27
RP000098755,2017-11-20,80.06,86.90,,27
RP000098755,2017-11-21,78.08,85.64,74.30,26
RP000098755,2017-11-22,80.96,86.36,74.30,27
RP000098755,2017-11-23,81.14,87.08,74.30,27
RP000098755,2017-11-24,81.86,87.26,76.46,28
RP000098755,2017-11-25,80.96,87.62,76.28,27
RP000098755,2017-11-26,80.06,86.18,,27
RP000098755,2017-11-27,81.86,85.46,75.74,28
RP000098755,2017-11-28,80.78,87.26,77.36,27
RP000098755,2017-11-29,80.96,89.06,76.28,27
RP000098755,2017-11-30,81.14,86.72,76.10,27
RP000098755,2017-12-01,82.04,88.16,75.56,28
RP000098755,2017-12-02,82.04,,77.00,28
RP000098755,2017-12-03,80.78,86.36,,27
RP000098755,2017-12-04,82.22,87.80,74.12,28
RP000098755,2017-12-05,82.40,89.78,74.84,28
