STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2017-06-26,83.48,91.04,,29
RPM00098646,2017-06-27,83.48,91.40,,29
RPM00098646,2017-06-28,81.86,89.78,,28
RPM00098646,2017-06-29,83.84,92.30,75.92,29
RPM00098646,2017-06-30,81.50,88.52,,28
RPM00098646,2017-07-01,81.14,88.88,,27
RPM00098646,2017-07-02,80.42,87.80,76.28,27
RPM00098646,2017-07-03,80.78,86.36,75.92,27
RPM00098646,2017-07-04,81.14,88.88,75.92,27
RPM00098646,2017-07-05,83.30,89.78,77.00,28
RPM00098646,2017-07-06,82.58,,,28
RPM00098646,2017-07-07,81.68,86.18,75.38,28
RPM00098646,2017-07-08,81.68,89.60,,28
RPM00098646,2017-07-09,80.96,88.16,,27
RPM00098646,2017-07-10,81.86,,76.28,28
RPM00098646,2017-07-11,80.06,,77.00,27
RPM00098646,2017-07-12,81.50,88.16,76.82,28
RPM00098646,2017-07-13,81.32,,74.66,27
RPM00098646,2017-07-14,80.96,87.08,76.82,27
RPM00098646,2017-07-15,79.34,85.28,76.46,26
RPM00098646,2017-07-16,81.86,88.70,75.74,28
RPM00098646,2017-07-17,83.48,,75.92,29
RPM00098646,2017-07-18,81.32,88.88,,27
RPM00098646,2017-07-19,81.32,88.52,73.76,27
RPM00098646,2017-07-20,82.40,90.14,75.02,28
RPM00098646,2017-07-21,80.42,89.60,,27
RPM00098646,2017-07-22,80.06,88.34,,27
RPM00098646,2017-07-23,78.62,,74.84,26
RPM00098646,2017-07-24,83.48,,,29
RPM00098646,2017-07-25,82.40,,75.92,28
RPM00098646,2017-07-26,83.84,89.78,78.08,29
RPM00098646,2017-07-27,84.56,,78.62,29
RPM00098646,2017-07-28,85.64,93.20,79.70,30
RPM00098646,2017-07-29,85.46,92.84,77.90,30
RPM00098646,2017-07-30,85.28,91.76,79.70,30
RPM00098646,2017-07-31,86.18,93.02,80.24,30
RPM00098646,2017-08-01,85.46,92.12,80.24,30
RPM00098646,2017-08-02,84.74,91.40,,29
